# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.225,0.42,0.84,1.305427805,-9.65,-0.5997762913,345.641,1.165120595,2.309084564
2.226,0.39,0.78,1.214936767,-11.23,-0.6906523648,346.578,1.179604315,2.484777424
2.227,0.35,0.7,1.09362302,-12.95,-0.7873377425,346.337,1.17588279,2.814662099
2.228,0.35,0.7,1.09362302,-13.28,-0.805623864,345.636,1.165043202,3.042749525
2.229,0.4,0.8,1.24514752,-10.85,-0.6689776014,344.657,1.149868042,2.58925405
2.23,0.5,1,1.544666,-5.88,-0.3747738078,343.564,1.132874794,2.037546486
2.231,0.6,1.2,1.83947712,-0.17,-0.0112557326,340.484,1.084696563,1.713626935
2.232,0.65,1.3,1.98511742,1.18,0.07883336081,336.459,1.021075242,1.804802158
2.233,0.6,1.2,1.83947712,-0.13,-0.008609618032,332.755,0.9618517283,1.929706105
2.234,0.45,0.9,1.39549518,-6.62,-0.4198605886,328.349,0.8905393507,2.964856909
2.235,0.2,0.4,0.63198848,-16.64,-0.987063429,323.093,0.8042071518,-3.45620336
2.236,-0.14,-0.28,-0.4535954528,-29.97,-1.626885128,315.538,0.6776203256,0.4778386931
2.237,-0.49,-0.98,-1.627949697,-43.2,-2.149921015,300.747,0.4207682234,0.9414724394
2.238,-0.73,-1.46,-2.466549287,-52.16,-2.450430774,297.171,0.356773401,1.17810551
2.239,-0.81,-1.62,-2.752107905,-55.24,-2.544992513,297.553,0.3636461698,1.261655634
2.24,-0.75,-1.5,-2.5376565,-53.5,-2.492087893,298.25,0.376163568,1.199313449
2.241,-0.66,-1.32,-2.219156861,-50.62,-2.401545457,300.102,0.409281972,1.113887233
2.242,-0.62,-1.24,-2.078825379,-49.38,-2.361378283,302.174,0.4460931474,1.085386892
2.243,-0.6,-1.2,-2.00894208,-48.64,-2.337058358,304.805,0.4924734609,1.089102531
