# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.575,1.205,2.41,3.51,21,1.599294702,434.116,2.384445062,0.8810816489
3.576,1.17,2.34,3.42,19,1.428131464,435.108,2.396656419,0.8941672335
3.577,1.14,2.28,3.34,18,1.344111733,436.287,2.411133559,0.8894225916
3.578,1.125,2.25,3.3,16,1.179155063,436.763,2.416967361,0.9176550769
3.579,1.11,2.22,3.26,14,1.018254135,436.559,2.414467939,0.9496836415
3.58,1.1,2.2,3.24,11,0.7843638115,436.743,2.416722371,1.012156442
3.581,1.09,2.18,3.22,9,0.6333153419,436.752,2.416832618,1.055686492
3.582,1.09,2.18,3.21,7,0.4860930969,437.021,2.420126723,1.104527599
3.583,1.11,2.22,3.27,4,0.2722904524,438.371,2.436627915,1.207123861
3.584,1.155,2.31,3.4,1,0.06672794636,439.338,2.448416451,1.351811054
3.585,1.185,2.37,3.48,-6,-0.3821161368,436.927,2.418975854,1.708512359
3.586,1.145,2.29,3.38,-3,-0.1949199307,435.703,2.403967421,1.530071225
3.587,1.185,2.37,3.49,-4,-0.2581659283,435.058,2.396041594,1.632461633
3.588,1.24,2.48,3.64,-5,-0.3205619313,434.124,2.384543652,1.76358151
3.589,1.285,2.57,3.76,-6,-0.3821161368,432.248,2.361374354,1.899701599
3.59,1.295,2.59,3.79,-6,-0.3821161368,431.306,2.349702352,1.926218008
3.591,1.29,2.58,3.79,-4,-0.2581659283,430.972,2.345557749,1.815662955
3.592,1.32,2.64,3.86,-4,-0.2581659283,431.312,2.349776777,1.845467575
3.593,1.28,2.56,3.75,0,0,430.8,2.343422149,1.600223844
3.594,1.29,2.58,3.77,1,0.06672794636,430.977,2.345619817,1.562792918
3.595,1.305,2.61,3.81,1,0.06672794636,431.194,2.348312903,1.577613067
3.596,1.265,2.53,3.7,4,0.2722904524,432.472,2.364146118,1.403409451
3.597,1.285,2.57,3.75,6,0.4138963161,434.275,2.386404203,1.339141987
3.598,1.305,2.61,3.8,8,0.5592300399,436.211,2.410201523,1.279706206
3.599,1.35,2.7,3.91,10,0.7083572001,437.858,2.430363456,1.245730483
3.6,1.36,2.72,3.93,12,0.8613433732,438.999,2.444286715,1.188880757
3.601,1.4,2.8,4.03,10,0.7083572001,441.806,2.478386205,1.264613898
3.602,1.41,2.82,4.06,10,0.7083572001,443.326,2.496760884,1.266724
3.603,1.405,2.81,4.06,9,0.6333153419,444.793,2.514435221,1.289809951
3.604,1.445,2.89,4.15,8,0.5592300399,446.214,2.53149986,1.342724901
3.605,1.45,2.9,4.17,7,0.4860930969,447.299,2.544492962,1.375971485
3.606,1.45,2.9,4.16,8,0.5592300399,448.544,2.559363323,1.333934732
3.607,1.43,2.86,4.12,9,0.6333153419,449.531,2.571122813,1.285716809
3.608,1.425,2.85,4.11,10,0.7083572001,450.721,2.585266639,1.247865634
3.609,1.42,2.84,4.1,11,0.7843638115,451.283,2.591933351,1.214348087
3.61,1.415,2.83,4.09,12,0.8613433732,451.323,2.592407533,1.18421974
3.611,1.405,2.81,4.07,10,0.7083572001,450.923,2.587663815,1.234822224
