age_kyr,gmsl_m
-5230.8999999997504,8.9969999999999999
-5230.7999999997501,8.9920000000000009
-5230.6999999997497,8.9860000000000007
-5230.5999999997503,8.9849999999999994
-5230.4999999997499,8.9740000000000002
-5230.3999999997504,8.9659999999999993
-5230.2999999997501,8.9640000000000004
-5230.1999999997497,8.9570000000000007
-5230.0999999997503,8.9580000000000002
-5229.9999999997499,8.9559999999999995
-5229.8999999997404,8.9499999999999993
-5229.7999999997401,8.9440000000000008
-5229.6999999997397,8.94
-5229.5999999997402,8.9359999999999999
-5229.4999999997399,8.9329999999999998
-5229.3999999997404,8.93
-5229.2999999997401,8.9280000000000008
-5229.1999999997397,8.9250000000000007
-5229.0999999997402,8.9239999999999995
-5228.9999999997399,8.923
-5228.8999999997404,8.923
-5228.7999999997401,8.9220000000000006
-5228.6999999997397,8.9220000000000006
-5228.5999999997402,8.9220000000000006
-5228.4999999997399,8.9220000000000006
-5228.3999999997404,8.9220000000000006
-5228.2999999997401,8.9220000000000006
-5228.1999999997397,8.9220000000000006
-5228.0999999997402,8.9220000000000006
-5227.9999999997399,8.9220000000000006
-5227.8999999997404,8.9220000000000006
-5227.7999999997401,8.9209999999999994
-5227.6999999997397,8.9209999999999994
-5227.5999999997402,8.92
-5227.4999999997399,8.92
-5227.3999999997404,8.9190000000000005
-5227.2999999997401,8.9169999999999998
-5227.1999999997397,8.9160000000000004
-5227.0999999997302,8.9139999999999997
-5226.9999999997299,8.9120000000000008
-5226.8999999997304,8.9109999999999996
-5226.7999999997301,8.9090000000000007
-5226.6999999997297,8.907
-5226.5999999997302,8.9049999999999994
-5226.4999999997299,8.9030000000000005
-5226.3999999997304,8.9009999999999998
-5226.2999999997301,8.8979999999999997
-5226.1999999997297,8.8960000000000008
-5226.0999999997302,8.8940000000000001
-5225.9999999997299,8.8919999999999995
-5225.8999999997304,8.89
-5225.7999999997301,8.8870000000000005
-5225.6999999997297,8.8849999999999998
-5225.5999999997302,8.8829999999999991
-5225.4999999997299,8.8800000000000008
-5225.3999999997304,8.8780000000000001
-5225.2999999997301,8.8759999999999994
-5225.1999999997297,8.8740000000000006
-5225.0999999997302,8.8719999999999999
-5224.9999999997299,8.8699999999999992
-5224.8999999997304,8.8680000000000003
-5224.7999999997301,8.8650000000000002
-5224.6999999997297,8.8620000000000001
-5224.5999999997302,8.859
-5224.4999999997299,8.8569999999999993
-5224.3999999997204,8.8539999999999992
-5224.2999999997201,8.85
